Date of Occurrence,Time of Occurrence,City,Crime Description,Victim Age,Victim Gender,Crime Domain
2020-01-01,06:26,Chennai,HOMICIDE,37,M,Other Crime
2020-01-01,14:30,Ludhiana,KIDNAPPING,48,F,Other Crime
2020-01-01,14:46,Pune,BURGLARY,49,F,Other Crime
2020-01-01,17:09,Delhi,ASSAULT,16,M,Violent Crime
2020-01-01,14:08,Chennai,VEHICLE - STOLEN,64,F,Violent Crime
2020-01-01,17:46,Mumbai,ASSAULT,32,X,Violent Crime
2020-01-01,22:28,Bangalore,SEXUAL ASSAULT,77,F,Violent Crime
2020-01-01,02:57,Ghaziabad,DRUG OFFENSE,61,M,Other Crime
2020-01-01,10:42,Bangalore,CYBERCRIME,11,M,Other Crime
2020-02-01,20:47,Bangalore,DRUG OFFENSE,18,F,Other Crime
2020-02-01,08:21,Jaipur,ASSAULT,60,M,Violent Crime
2020-02-01,09:35,Bhopal,BURGLARY,37,F,Other Crime
2020-02-01,13:06,Bhopal,HOMICIDE,32,F,Other Crime
2020-02-01,02:40,Patna,VEHICLE - STOLEN,24,F,Violent Crime
2020-02-01,00:18,Lucknow,SEXUAL ASSAULT,33,F,Violent Crime
2020-02-01,21:24,Surat,VEHICLE - STOLEN,32,F,Violent Crime
2020-02-01,01:51,Visakhapatnam,HOMICIDE,28,F,Other Crime
2020-02-01,08:34,Mumbai,SEXUAL ASSAULT,44,M,Violent Crime
2020-02-01,09:02,Patna,DRUG OFFENSE,67,M,Other Crime
2020-02-01,09:55,Delhi,ROBBERY,47,F,Violent Crime
2020-03-01,06:06,Hyderabad,DRUG OFFENSE,37,F,Other Crime
2020-03-01,17:10,Nagpur,BURGLARY,54,F,Other Crime
2020-03-01,19:13,Kolkata,BURGLARY,38,F,Other Crime
2020-03-01,18:47,Delhi,BURGLARY,75,M,Other Crime
2020-03-01,11:11,Meerut,BURGLARY,49,F,Other Crime
2020-03-01,20:16,Kanpur,SEXUAL ASSAULT,67,F,Violent Crime
